Image,Class,Parent,X,Y,Layer,Nearest_Distance
A22-312CD34NEUN.svs,Neuron,Layer4,5038.3,1992.0,Layer4,43.41393785410359
A22-312CD34NEUN.svs,Neuron,Layer4,4989.5,2063.9,Layer4,29.846607847458852
A22-312CD34NEUN.svs,Neuron,Layer4,4963.7,2075.2,Layer4,56.40434380435583
A22-312CD34NEUN.svs,Neuron,Layer4,5043.4,2167.6,Layer4,27.5481396831079
A22-312CD34NEUN.svs,Neuron,Layer4,5110.5,2173.7,Layer4,21.04471430074567
A22-312CD34NEUN.svs,Neuron,Layer4,4911.2,2201.0,Layer4,16.82408987137213
A22-312CD34NEUN.svs,Neuron,Layer4,4958.3,2209.3,Layer4,24.083189157584894
A22-312CD34NEUN.svs,Neuron,Layer4,4862.7,2227.5,Layer4,36.754455512223096
A22-312CD34NEUN.svs,Neuron,Layer4,4933.1,2233.1,Layer4,19.067249408344097
A22-312CD34NEUN.svs,Neuron,Layer4,5004.3,2239.9,Layer4,19.714461696937043
A22-312CD34NEUN.svs,Neuron,Layer4,5021.6,2249.2,Layer4,18.278402556022577
A22-312CD34NEUN.svs,Neuron,Layer4,4990.9,2262.7,Layer4,25.08944000969353
A22-312CD34NEUN.svs,Neuron,Layer4,5014.8,2300.0,Layer4,25.880494585691302
A22-312CD34NEUN.svs,Neuron,Layer4,5892.1,1530.6,Layer4,11.684177335183024
A22-312CD34NEUN.svs,Neuron,Layer4,6093.0,1530.5,Layer4,12.472369462135116
A22-312CD34NEUN.svs,Neuron,Layer4,6102.8,1532.3,Layer4,22.41160413714307
A22-312CD34NEUN.svs,Neuron,Layer4,6034.0,1539.9,Layer4,38.72182846922411
A22-312CD34NEUN.svs,Neuron,Layer4,5894.0,1537.6,Layer4,5.661271941887481
A22-312CD34NEUN.svs,Neuron,Layer4,5923.5,1545.0,Layer4,13.261975720080294
A22-312CD34NEUN.svs,Neuron,Layer4,5822.1,1542.7,Layer4,68.60182213323438
A22-312CD34NEUN.svs,Neuron,Layer4,5875.3,1545.8,Layer4,15.815182578774996
A22-312CD34NEUN.svs,Neuron,Layer4,5957.3,1549.1,Layer4,32.91883959072706
A22-312CD34NEUN.svs,Neuron,Layer4,5771.7,1550.9,Layer4,92.59616622733364
A22-312CD34NEUN.svs,Neuron,Layer4,5880.9,1557.8,Layer4,18.422811946062975
