Image,Class,Parent,X,Y,Layer,Nearest_Distance
A22-312CD34NEUN.svs,Neuron,Layer5,6086.8,1960.8,Layer5,47.84809296095296
A22-312CD34NEUN.svs,Neuron,Layer5,6072.8,1967.3,Layer5,35.20355095725426
A22-312CD34NEUN.svs,Neuron,Layer5,6054.7,1975.6,Layer5,24.347689828811337
A22-312CD34NEUN.svs,Neuron,Layer5,6106.0,1979.7,Layer5,51.22352974952017
A22-312CD34NEUN.svs,Neuron,Layer5,5954.6,1984.5,Layer5,12.439051410778236
A22-312CD34NEUN.svs,Neuron,Layer5,6079.6,1980.5,Layer5,28.2391572112201
A22-312CD34NEUN.svs,Neuron,Layer5,6075.9,1989.3,Layer5,19.962464777676637
A22-312CD34NEUN.svs,Neuron,Layer5,6025.3,1989.3,Layer5,35.047681806362014
A22-312CD34NEUN.svs,Neuron,Layer5,6046.2,1991.7,Layer5,14.871785366929117
A22-312CD34NEUN.svs,Neuron,Layer5,6115.4,1990.6,Layer5,54.696343570663025
A22-312CD34NEUN.svs,Neuron,Layer5,6106.8,2001.9,Layer5,48.05507257303854
A22-312CD34NEUN.svs,Neuron,Layer5,6021.2,2004.4,Layer5,37.90514476954321
A22-312CD34NEUN.svs,Neuron,Layer5,5991.6,2006.4,Layer5,28.401584462842923
A22-312CD34NEUN.svs,Neuron,Layer5,6088.9,2006.8,Layer5,30.949151846213297
A22-312CD34NEUN.svs,Neuron,Layer5,6000.0,2019.6,Layer5,24.62214450449026
A22-312CD34NEUN.svs,Neuron,Layer5,6052.1,2024.5,Layer5,25.78565492672238
A22-312CD34NEUN.svs,Neuron,Layer5,5832.1,2031.8,Layer5,65.58856607671795
A22-312CD34NEUN.svs,Neuron,Layer5,5886.7,2035.2,Layer5,18.223611058185185
A22-312CD34NEUN.svs,Neuron,Layer5,6124.0,2037.9,Layer5,52.1878338312676
A22-312CD34NEUN.svs,Neuron,Layer5,5942.7,2039.1,Layer5,15.016324450410618
A22-312CD34NEUN.svs,Neuron,Layer5,5918.2,2041.5,Layer5,29.482198018465514
A22-312CD34NEUN.svs,Neuron,Layer5,5901.8,2043.3,Layer5,23.970815588961333
A22-312CD34NEUN.svs,Neuron,Layer5,5802.4,2041.3,Layer5,42.59060929359858
A22-312CD34NEUN.svs,Neuron,Layer5,6130.0,2046.9,Layer5,45.25450253842157
