Image,Class,Parent,X,Y,Layer,Nearest_Distance
A22-312CD34NEUN.svs,Neuron,Layer1,1769.8,1753.5,Layer1,56.64847747292075
A22-312CD34NEUN.svs,Neuron,Layer1,1785.3,1758.4,Layer1,55.54178607138951
A22-312CD34NEUN.svs,Neuron,Layer1,1905.5,1755.8,Layer1,141.9118740627436
A22-312CD34NEUN.svs,Neuron,Layer1,1633.9,1757.8,Layer1,92.14000217060975
A22-312CD34NEUN.svs,Neuron,Layer1,1893.1,1759.3,Layer1,129.47173436700376
A22-312CD34NEUN.svs,Neuron,Layer1,1945.3,1760.2,Layer1,175.73235331036793
A22-312CD34NEUN.svs,Neuron,Layer1,1623.1,1763.0,Layer1,98.23573687818498
A22-312CD34NEUN.svs,Neuron,Layer1,1993.7,1761.6,Layer1,220.8371798407144
A22-312CD34NEUN.svs,Neuron,Layer1,1847.5,1778.7,Layer1,80.80006188116438
A22-312CD34NEUN.svs,Neuron,Layer1,1511.3,1775.3,Layer1,126.27668034914451
A22-312CD34NEUN.svs,Neuron,Layer1,1526.3,1780.1,Layer1,125.75054671849355
A22-312CD34NEUN.svs,Neuron,Layer1,4280.7,1421.4,Layer1,80.6452106451461
A22-312CD34NEUN.svs,Neuron,Layer1,4256.1,1447.8,Layer1,58.45724933658775
A22-312CD34NEUN.svs,Neuron,Layer1,4237.0,1463.5,Layer1,56.24277731406941
A22-312CD34NEUN.svs,Neuron,Layer1,4406.3,1476.4,Layer1,47.249232798004066
A22-312CD34NEUN.svs,Neuron,Layer1,4460.5,1499.6,Layer1,71.00563357931532
A22-312CD34NEUN.svs,Neuron,Layer1,4277.2,1502.3,Layer1,0.8544003745319074
A22-312CD34NEUN.svs,Neuron,Layer1,4410.4,1515.7,Layer1,71.49636354388888
A22-312CD34NEUN.svs,Neuron,Layer1,4378.4,1553.0,Layer1,70.62018125153747
A22-312CD34NEUN.svs,Neuron,Layer1,4316.8,1599.8,Layer1,73.30381981861527
