Image,Class,Parent,X,Y,Layer,Nearest_Distance
A22-312CD34NEUN.svs,Neuron,Layer3,1770.5,2014.3,Layer3,31.185413256841667
A22-312CD34NEUN.svs,Neuron,Layer3,1781.3,2023.5,Layer3,17.105846953600327
A22-312CD34NEUN.svs,Neuron,Layer3,1897.1,2027.6,Layer3,47.70000000000027
A22-312CD34NEUN.svs,Neuron,Layer3,1420.5,2032.8,Layer3,83.83704431812957
A22-312CD34NEUN.svs,Neuron,Layer3,1920.1,2035.4,Layer3,46.05442432600811
A22-312CD34NEUN.svs,Neuron,Layer3,1770.2,2043.1,Layer3,23.036058690670068
A22-312CD34NEUN.svs,Neuron,Layer3,1821.4,2040.9,Layer3,29.4159820505794
A22-312CD34NEUN.svs,Neuron,Layer3,1960.0,2043.2,Layer3,70.6174199472058
A22-312CD34NEUN.svs,Neuron,Layer3,1487.2,2047.8,Layer3,88.47790684685093
A22-312CD34NEUN.svs,Neuron,Layer3,1339.0,2046.0,Layer3,56.40655990219583
A22-312CD34NEUN.svs,Neuron,Layer3,1455.1,2050.6,Layer3,100.18208422667188
A22-312CD34NEUN.svs,Neuron,Layer3,1399.8,2047.8,Layer3,59.19341179557074
A22-312CD34NEUN.svs,Neuron,Layer3,1735.5,2052.8,Layer3,26.064727123068185
A22-312CD34NEUN.svs,Neuron,Layer3,2022.8,2057.8,Layer3,62.75061752684198
A22-312CD34NEUN.svs,Neuron,Layer3,1436.1,2061.5,Layer3,78.71467461661771
A22-312CD34NEUN.svs,Neuron,Layer3,1511.9,2065.3,Layer3,58.25804665451803
A22-312CD34NEUN.svs,Neuron,Layer3,5181.1,1274.6,Layer3,43.83206588788665
A22-312CD34NEUN.svs,Neuron,Layer3,5207.3,1269.1,Layer3,64.2208688823194
A22-312CD34NEUN.svs,Neuron,Layer3,5160.8,1288.6,Layer3,24.90020080240327
A22-312CD34NEUN.svs,Neuron,Layer3,5199.2,1293.5,Layer3,43.20752249319572
A22-312CD34NEUN.svs,Neuron,Layer3,5239.5,1292.4,Layer3,75.88287026727471
A22-312CD34NEUN.svs,Neuron,Layer3,5117.4,1304.3,Layer3,31.67349049283995
