Image,Class,Parent,X,Y,Layer,Nearest_Distance
A22-312CD34NEUN.svs,Neuron,Layer2,5363.3,1107.8,Layer2,38.41041525419898
A22-312CD34NEUN.svs,Neuron,Layer2,5379.0,1108.1,Layer2,22.921169254643402
A22-312CD34NEUN.svs,Neuron,Layer2,5441.2,1113.3,Layer2,39.90012531308606
A22-312CD34NEUN.svs,Neuron,Layer2,5428.4,1115.0,Layer2,27.147191383271494
A22-312CD34NEUN.svs,Neuron,Layer2,5485.3,1114.5,Layer2,30.59297304937852
A22-312CD34NEUN.svs,Neuron,Layer2,5389.2,1117.8,Layer2,12.875169901791883
A22-312CD34NEUN.svs,Neuron,Layer2,5347.7,1116.6,Layer2,27.762744821072314
A22-312CD34NEUN.svs,Neuron,Layer2,5512.2,1116.6,Layer2,47.54418997101516
A22-312CD34NEUN.svs,Neuron,Layer2,5365.7,1120.0,Layer2,36.2066292272565
A22-312CD34NEUN.svs,Neuron,Layer2,5357.0,1125.4,Layer2,33.065389760291275
A22-312CD34NEUN.svs,Neuron,Layer2,5459.5,1128.4,Layer2,46.42456246428181
A22-312CD34NEUN.svs,Neuron,Layer2,5342.8,1128.2,Layer2,18.59247159470717
A22-312CD34NEUN.svs,Neuron,Layer2,5426.0,1126.9,Layer2,28.148534597736898
A22-312CD34NEUN.svs,Neuron,Layer2,5221.3,1131.6,Layer2,14.983324063771697
A22-312CD34NEUN.svs,Neuron,Layer2,5434.4,1135.7,Layer2,37.23291554525379
A22-312CD34NEUN.svs,Neuron,Layer2,5495.3,1133.1,Layer2,51.457263821544124
A22-312CD34NEUN.svs,Neuron,Layer2,5311.7,1136.9,Layer2,13.79927534329303
A22-312CD34NEUN.svs,Neuron,Layer2,5423.2,1137.6,Layer2,26.13579920339175
A22-312CD34NEUN.svs,Neuron,Layer2,5374.3,1137.3,Layer2,27.44485379811624
A22-312CD34NEUN.svs,Neuron,Layer2,5354.6,1142.7,Layer2,31.851059637004244
A22-312CD34NEUN.svs,Neuron,Layer2,5309.7,1157.5,Layer2,29.534048147858368
A22-312CD34NEUN.svs,Neuron,Layer2,5371.6,1154.5,Layer2,28.461377338420544
A22-312CD34NEUN.svs,Neuron,Layer2,5393.1,1156.8,Layer2,10.499999999999455
A22-312CD34NEUN.svs,Neuron,Layer2,5323.2,1154.6,Layer2,22.64332131115039
A22-312CD34NEUN.svs,Neuron,Layer2,5429.8,1160.3,Layer2,32.64613300224132
A22-312CD34NEUN.svs,Neuron,Layer2,5443.2,1165.1,Layer2,28.86693610343887
A22-312CD34NEUN.svs,Neuron,Layer2,5319.4,1167.5,Layer2,35.87882383802467
A22-312CD34NEUN.svs,Neuron,Layer2,5514.0,1172.5,Layer2,61.8580633385815
A22-312CD34NEUN.svs,Neuron,Layer2,5408.0,1168.4,Layer2,21.77062240727183
