Image,Class,Parent,X,Y,Layer,Nearest_Distance
A22-312CD34NEUN.svs,Neuron,Layer6,6051.9,2250.1,Layer6,101.1719822875876
A22-312CD34NEUN.svs,Neuron,Layer6,6006.1,2261.4,Layer6,82.03462683525751
A22-312CD34NEUN.svs,Neuron,Layer6,6020.1,2271.7,Layer6,71.9241962068399
A22-312CD34NEUN.svs,Neuron,Layer6,6037.8,2275.7,Layer6,72.15608082483416
A22-312CD34NEUN.svs,Neuron,Layer6,5959.5,2280.0,Layer6,82.35338487275429
A22-312CD34NEUN.svs,Neuron,Layer6,6060.5,2292.3,Layer6,70.10028530612372
A22-312CD34NEUN.svs,Neuron,Layer6,6012.5,2294.9,Layer6,48.30041407689973
A22-312CD34NEUN.svs,Neuron,Layer6,5968.9,2294.8,Layer6,65.00861481373074
A22-312CD34NEUN.svs,Neuron,Layer6,6045.9,2298.2,Layer6,56.16012820498155
A22-312CD34NEUN.svs,Neuron,Layer6,5949.8,2303.2,Layer6,74.20411039827916
A22-312CD34NEUN.svs,Neuron,Layer6,5981.7,2304.0,Layer6,49.72926703662551
A22-312CD34NEUN.svs,Neuron,Layer6,6035.6,2307.1,Layer6,42.96626583728218
A22-312CD34NEUN.svs,Neuron,Layer6,6005.1,2306.5,Layer6,37.399598928330555
A22-312CD34NEUN.svs,Neuron,Layer6,5918.6,2312.5,Layer6,98.60111561234972
A22-312CD34NEUN.svs,Neuron,Layer6,6015.7,2317.5,Layer6,25.923927171630233
A22-312CD34NEUN.svs,Neuron,Layer6,5900.3,2310.6,Layer6,116.64801755709351
A22-312CD34NEUN.svs,Neuron,Layer6,5958.7,2318.6,Layer6,58.975588170021965
A22-312CD34NEUN.svs,Neuron,Layer6,6043.8,2328.7,Layer6,34.677081768799404
A22-312CD34NEUN.svs,Neuron,Layer6,5901.3,2320.2,Layer6,107.61598394290728
A22-312CD34NEUN.svs,Neuron,Layer6,5980.2,2326.2,Layer6,36.32368373389493
A22-312CD34NEUN.svs,Neuron,Layer6,5931.1,2333.5,Layer6,81.77731959412688
A22-312CD34NEUN.svs,Neuron,Layer6,5947.4,2333.8,Layer6,65.57720640588515
A22-312CD34NEUN.svs,Neuron,Layer6,5955.2,2356.6,Layer6,58.6512574460262
A22-312CD34NEUN.svs,Neuron,Layer6,5987.9,2357.2,Layer6,28.13112155602806
A22-312CD34NEUN.svs,Neuron,Layer6,5820.8,2356.7,Layer6,94.01967879119759
A22-312CD34NEUN.svs,Neuron,Layer6,6006.7,2360.1,Layer6,17.803651310897074
A22-312CD34NEUN.svs,Neuron,Layer6,5825.7,2369.0,Layer6,81.74350127074317
A22-312CD34NEUN.svs,Neuron,Layer6,5972.4,2371.2,Layer6,38.2744039796836
A22-312CD34NEUN.svs,Neuron,Layer6,5890.4,2371.3,Layer6,55.48206917554526
A22-312CD34NEUN.svs,Neuron,Layer6,5986.9,2379.0,Layer6,24.944738924270233
A22-312CD34NEUN.svs,Neuron,Layer6,5836.7,2377.3,Layer6,68.1076354016198
A22-312CD34NEUN.svs,Neuron,Layer6,5903.0,2378.8,Layer6,51.28908265898314
A22-312CD34NEUN.svs,Neuron,Layer6,5835.6,2391.1,Layer6,59.824576889435185
A22-312CD34NEUN.svs,Neuron,Layer6,5746.2,2389.0,Layer6,32.89376840679703
A22-312CD34NEUN.svs,Neuron,Layer6,5901.8,2391.2,Layer6,39.48987211931736
A22-312CD34NEUN.svs,Neuron,Layer6,5925.0,2394.5,Layer6,38.617353612074396
A22-312CD34NEUN.svs,Neuron,Layer6,5848.9,2401.2,Layer6,43.128181042098376
A22-312CD34NEUN.svs,Neuron,Layer6,5965.9,2403.2,Layer6,23.88053600738487
A22-312CD34NEUN.svs,Neuron,Layer6,6014.5,2397.5,Layer6,21.51487857274606
A22-312CD34NEUN.svs,Neuron,Layer6,5798.9,2399.4,Layer6,57.80242209457986
A22-312CD34NEUN.svs,Neuron,Layer6,5908.9,2402.7,Layer6,34.448367160142915
A22-312CD34NEUN.svs,Neuron,Layer6,5953.2,2402.2,Layer6,20.255616505058814
A22-312CD34NEUN.svs,Neuron,Layer6,6001.6,2413.2,Layer6,12.901550294441552
A22-312CD34NEUN.svs,Neuron,Layer6,5754.6,2412.1,Layer6,26.945314991664524
A22-312CD34NEUN.svs,Neuron,Layer6,5936.5,2412.5,Layer6,18.139735389470165
